t_s,vx,vy,vz
4.736626999999999,46.68032709688966,0.7289375224596434,-0.7286294310521768
4.741631999999999,46.731463313916045,0.7283674085507704,-0.7228982859682432
4.746636999999999,46.78269555012707,0.7278573066323052,-0.7172751624670445
4.751641999999999,46.83420984269302,0.7273712095100031,-0.7117300545533758
4.756646999999999,46.885892168832115,0.7269271207809863,-0.7061189334502577
4.761651999999999,46.93742446499518,0.7263750104692357,-0.7004478003567328
4.766656999999999,46.988608691613884,0.7257148785747514,-0.695034718821961
4.771661999999999,47.03939683909591,0.7249947346898592,-0.6903357799730396
4.776666999999999,47.0897108918537,0.7243466051934564,-0.6867770689418647
4.781671999999999,47.13944882950358,0.7240345428433365,-0.6845446228986994
4.786676999999999,47.18859864964747,0.7242145788145595,-0.6836744490377881
4.791681999999999,47.23730438106233,0.7248507059128808,-0.6839745089898264
4.796686999999999,47.285818074107894,0.7257868929632405,-0.6851447428027759
4.801691999999999,47.33441578394003,0.7268251003972934,-0.6870891312919848
4.806696999999999,47.38316952494722,0.7277432838505308,-0.6896876504766369
4.811701999999999,47.43189926115825,0.7282353821718737,-0.6927362595893466
4.816706999999999,47.48043095780094,0.7280613473996914,-0.6960429202608098
4.821711999999999,47.52861458489926,0.7272511855291879,-0.6995476205006178
4.826716999999999,47.57630011247719,0.726062948119116,-0.7034003902847903
4.831721999999999,47.62338552015106,0.7248026963205547,-0.7076612416037357
4.836726999999999,47.669726779143865,0.7235604481191159,-0.712264161268004
4.841731999999999,47.71517986067863,0.722606257471634,-0.7171251324910253
4.846736999999998,47.75967275036688,0.7224082179032887,-0.7221721408843104
4.851741999999999,47.803241455402855,0.7232723905651592,-0.7273811816516971
4.856746999999999,47.84621604173379,0.7252407838505308,-0.7323621768555337
4.861751999999999,47.88921463286089,0.7280133378073657,-0.7367010437620091
4.866756999999999,47.93255529233331,0.7318661075915381,-0.7403737775749585
4.871761999999999,47.97604598178175,0.7369731279752308,-0.7433323687020567
4.876766999999998,48.02006477674578,0.7421881699416574,-0.745486799157692
4.881771999999999,48.065571869071924,0.7465330380471735,-0.7471371288939033
4.886776999999999,48.113119369071924,0.7500257358889,-0.7485894190617689
