GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:04:50 GMT+02:00 2022,24-Jun-2022 20:04:51.564,-5.79027273646636,37.19059083379702,5.6312150955200195,4.039213180541992,97.85040955524892,239.213134765625,-2.87970757,7.38685942,6.98567724,0.08811499,
Fri Jun 24 20:04:51 GMT+02:00 2022,24-Jun-2022 20:04:52.563,-5.790323111641368,37.19055020520927,6.213024139404297,3.98738956451416,98.15693960990757,207.7469940185547,-1.29057038,7.18863869,6.6603241,-0.00717953,
Fri Jun 24 20:04:52 GMT+02:00 2022,24-Jun-2022 20:04:53.564,-5.790354149950713,37.190488074376255,7.158860683441162,3.8817086219787598,98.29663342051208,190.93495178222656,0.2018695,6.71193361,7.17356443,-0.00847887,
Fri Jun 24 20:04:53 GMT+02:00 2022,24-Jun-2022 20:04:54.563,-5.790367130228949,37.190419406260595,7.7417802810668945,3.7768824100494385,98.47518667392433,184.17552185058594,0.790326,7.01350737,7.58866167,0.02109705,
Fri Jun 24 20:04:54 GMT+02:00 2022,24-Jun-2022 20:04:55.563,-5.790378247077681,37.19034973778427,7.755523204803467,3.6078004837036133,98.70398435927927,190.69619750976562,0.3264063,6.75543165,5.6635704,-0.05138341,
Fri Jun 24 20:04:55 GMT+02:00 2022,24-Jun-2022 20:04:56.563,-5.790408010790571,37.19028071408143,8.643529891967773,3.56892991065979,98.84342901874334,202.55853271484375,-0.98798168,7.71264315,6.32077885,0.04047185,
Fri Jun 24 20:04:56 GMT+02:00 2022,24-Jun-2022 20:04:57.564,-5.790460231610193,37.1902049698556,10.120238304138184,3.561816453933716,98.94903080537915,211.3292999267578,-1.11878169,5.81587029,5.3592,-0.16679972,
Fri Jun 24 20:04:57 GMT+02:00 2022,24-Jun-2022 20:04:58.564,-5.790527689896205,37.19012469912267,10.926360130310059,3.6191961765289307,98.85824687220156,212.44053649902344,-0.87239921,6.50264215,6.96586275,-0.00555128,
Fri Jun 24 20:04:58 GMT+02:00 2022,24-Jun-2022 20:04:59.563,-5.790602034594646,37.1900398836442,11.32182788848877,3.7301950454711914,98.84029200207442,211.27377319335938,-0.13081919,5.65616751,6.80837202,-0.07862461,
Fri Jun 24 20:04:59 GMT+02:00 2022,24-Jun-2022 20:05:00.564,-5.790671693798217,37.189953792801376,10.937923431396484,3.728050708770752,98.97445523552597,209.32577514648438,-0.17273687,6.27928209,7.28746128,-0.00025195,
Fri Jun 24 20:05:00 GMT+02:00 2022,24-Jun-2022 20:05:01.564,-5.790734775291946,37.18986711247421,10.801044464111328,3.7345216274261475,99.22084876988083,207.9853515625,-0.1569926,6.85561466,6.68622971,-0.02488953,
Fri Jun 24 20:05:01 GMT+02:00 2022,24-Jun-2022 20:05:02.564,-5.790792970080558,37.1897786805989,10.93465518951416,3.7364749908447266,99.16510476823896,205.2760772705078,0.01923981,7.04037046,7.96672487,0.10277504,
Fri Jun 24 20:05:02 GMT+02:00 2022,24-Jun-2022 20:05:03.564,-5.7908444978644145,37.18968592835294,11.253918647766113,3.7525887489318848,99.21923837717623,201.65757751464844,-0.28518775,5.95321131,7.67191315,0.00931114,
Fri Jun 24 20:05:03 GMT+02:00 2022,24-Jun-2022 20:05:04.564,-5.790890091250202,37.1895897877526,11.591259002685547,3.939793586730957,99.13783055823296,201.40185546875,-0.02692998,6.47778082,7.9273262,0.08453713,
Fri Jun 24 20:05:04 GMT+02:00 2022,24-Jun-2022 20:05:05.564,-5.790936481458345,37.18949422549241,11.43644905090332,4.013518810272217,99.16646756511182,201.41090393066406,-0.12183613,5.95825815,7.14968967,-0.03220034,
Fri Jun 24 20:05:05 GMT+02:00 2022,24-Jun-2022 20:05:06.563,-5.790977159136136,37.18940197591669,10.726778030395508,4.102832317352295,98.96619996521622,198.27920532226562,-0.19174683,7.06869888,6.7550292,0.01586521,
